,announced_date,total_test,negative,positive,deceased,recovered,note,country
0,2020-01-02,0,,,,,,mm
1,2020-02-02,0,00,,,,,mm
2,2020-03-02,1,01,,,,,mm
3,2020-04-02,0,00,,,,,mm
4,2020-05-02,4,04,,,,,mm
5,2020-06-02,0,00,,,,,mm
6,2020-07-02,2,02,,,,,mm
7,2020-08-02,0,00,,,,,mm
8,2020-09-02,0,00,,,,,mm
9,2020-10-02,1,01,,,,,mm
10,2020-11-02,6,06,,,,,mm
11,2020-02-13,0,00,,,,,mm
12,2020-02-14,13,13,,,,,mm
13,2020-02-15,0,00,,,,,mm
14,2020-02-16,2,02,,,,,mm
15,2020-02-17,0,00,,,,,mm
16,2020-02-18,0,00,,,,,mm
17,2020-02-19,0,00,,,,,mm
18,2020-02-20,0,00,,,,,mm
19,2020-02-21,0,00,,,,,mm
20,2020-02-22,1,01,,,,,mm
21,2020-02-23,0,00,,,,,mm
22,2020-02-24,0,00,,,,,mm
23,2020-02-25,1,01,,,,,mm
24,2020-02-26,0,00,,,,,mm
25,2020-02-27,2,02,,,,,mm
26,2020-02-28,2,02,,,,,mm
27,2020-02-29,1,01,,,,,mm
28,2020-01-03,0,00,,,,,mm
29,2020-02-03,0,00,,,,,mm
30,2020-03-03,4,04,,,,,mm
31,2020-04-03,5,05,,,,,mm
32,2020-05-03,2,02,,,,,mm
33,2020-06-03,4,04,,,,,mm
34,2020-07-03,13,13,,,,,mm
35,2020-08-03,6,06,,,,,mm
36,2020-09-03,7,07,,,,,mm
37,2020-10-03,3,03,,,,,mm
38,2020-11-03,6,06,,,,,mm
39,2020-12-03,5,05,,,,,mm
40,2020-03-13,12,12,,,,,mm
41,2020-03-14,9,09,,,,,mm
42,2020-03-15,5,05,,,,,mm
43,2020-03-16,7,07,,,,,mm
44,2020-03-17,5,05,,,,,mm
45,2020-03-18,8,08,,,,,mm
46,2020-03-19,13,13,,,,,mm
47,2020-03-20,17,17,,,,,mm
48,2020-03-21,11,11,,,,,mm
49,2020-03-22,10,10,00,0,0,,mm
50,2020-03-23,14,12,02,0,0,,mm
51,2020-03-24,2,02,00,0,0,,mm
52,2020-03-25,41,40,01,0,0,,mm
53,2020-03-26,48,46,02,0,0,,mm
54,2020-03-27,62,59,03,0,0,,mm
55,2020-03-28,44,44,00,0,0,,mm
56,2020-03-29,82,80,02,0,0,,mm
57,2020-03-30,55,51,04,0,0,,mm
58,2020-03-31,67,66,01,1,0,,mm
59,2020-01-04,56,55,01,0,0,,mm
60,2020-02-04,62,58,04,0,1,,mm
61,2020-03-04,55,55,00,0,0,,mm
62,2020-04-04,84,83,01,0,0,,mm
63,2020-05-04,55,55,00,0,0,,mm
64,2020-06-04,46,45,01,0,0,,mm
65,2020-07-04,32,32,00,0,1,,mm
66,2020-08-04,33,33,00,2,0,,mm
67,2020-09-04,92,91,01,0,0,,mm
68,2020-10-04,44,39,05,0,0,,mm
69,2020-10-04,78,78,00,0,0,,mm
70,2020-11-04,223,220,03,0,0,,mm
71,2020-12-04,285,275,10,1,0,,mm
72,2020-04-13,81,81,00,0,0,,mm
73,2020-04-13,93,93,00,0,0,,mm
74,2020-04-14,136,114,22,0,0,,mm
75,2020-04-14,381,381,00,0,0,,mm
76,2020-04-15,400,389,11,0,0,,mm
77,2020-04-16,113,102,11,0,0,,mm
78,2020-04-16,269,269,00,0,0,,mm
79,2020-04-17,378,369,09,0,3,,mm
80,2020-04-18,272,259,13,1,0,,mm
81,2020-04-19,369,365,04,0,2,,mm
82,2020-04-20,427,419,08,0,2,,mm
83,2020-04-21,279,277,02,0,0,,mm
84,2020-04-22,252,246,06,0,0,,mm
85,2020-04-23,265,253,12,0,0,,mm
86,2020-04-24,350,345,05,0,0,,mm
87,2020-04-25,426,424,02,0,1,,mm
88,2020-04-26,347,347,00,0,0,,mm
89,2020-04-27,345,345,00,0,6,,mm
90,2020-04-28,413,409,04,0,11,,mm
91,2020-04-29,294,294,00,1,1,,mm
92,2020-04-30,237,236,01,0,3,,mm
93,2020-01-05,196,196,00,0,6,,mm
94,2020-02-05,378,378,00,0,0,,mm
95,2020-03-05,252,248,04,0,6,,mm
96,2020-04-05,271,265,06,0,6,,mm
97,2020-05-05,655,655,00,0,0,,mm
98,2020-06-05,406,405,01,0,1,,mm
99,2020-07-05,247,233,14,0,12,,mm
100,2020-08-05,582,581,01,0,5,,mm
101,2020-09-05,453,452,01,0,1,,mm
102,2020-10-05,284,282,02,0,4,,mm
103,2020-11-05,353,353,00,0,2,,mm
104,2020-12-05,275,275,00,0,2,,mm
105,2020-05-13,440,439,01,0,3,,mm
106,2020-05-14,523,523,00,0,5,,mm
107,2020-05-15,694,693,01,0,5,,mm
108,2020-05-16,417,417,00,0,7,,mm
109,2020-05-17,576,571,05,0,2,,mm
110,2020-05-18,597,593,04,0,4,,mm
111,2020-05-19,718,716,02,0,3,,mm
112,2020-05-20,722,716,06,0,4,,mm
113,2020-05-21,627,627,00,0,0,,mm
114,2020-05-22,740,738,02,0,7,,mm
115,2020-05-23,781,781,00,0,4,,mm
116,2020-05-24,914,914,00,0,2,,mm
117,2020-05-25,777,775,02,0,1,,mm
118,2020-05-26,1312,1309,03,0,1,,mm
119,2020-05-27,1343,1343,00,0,2,,mm
120,2020-05-28,1211,1211,00,0,0,,mm
121,2020-05-29,1214,1196,18,0,4,,mm
122,2020-05-30,1338,1338,00,0,0,,mm
123,2020-05-31,1560,1556,04,0,8,,mm
124,2020-01-06,1246,1246,00,0,0,,mm
125,2020-02-06,1862,1857,05,0,5,,mm
126,2020-03-06,1905,1904,01,0,2,,mm
127,2020-04-06,1936,1934,02,0,3,,mm
128,2020-05-06,1872,1872,00,0,3,,mm
129,2020-06-06,1934,1930,04,0,5,,mm
130,2020-07-06,2097,2094,03,0,0,,mm
131,2020-08-06,1556,1555,01,0,3,,mm
132,2020-09-06,2054,2052,02,0,0,,mm
133,2020-10-06,1613,1610,03,0,6,,mm
134,2020-11-06,2196,2184,12,0,0,,mm
135,2020-12-06,1804,1804,00,0,0,,mm
136,2020-06-13,2047,2047,00,0,2,,mm
137,2020-06-14,1994,1993,01,0,0,,mm
138,2020-06-15,2091,2091,00,0,8,,mm
139,2020-06-16,2363,2363,00,0,4,,mm
140,2020-06-17,2096,2095,01,0,6,,mm
141,2020-06-18,2422,2399,23,0,2,,mm
142,2020-06-19,2152,2152,00,0,5,,mm
143,2020-06-20,2242,2241,01,0,4,,mm
144,2020-06-21,1570,1567,03,0,4,,mm
145,2020-06-22,1789,1788,01,0,0,,mm
146,2020-06-23,1997,1996,01,0,4,,mm
147,2020-06-24,2330,2329,01,0,4,,mm
148,2020-06-25,2018,2018,00,0,3,,mm
149,2020-06-26,1722,1722,00,0,4,,mm
150,2020-06-27,1965,1962,03,0,1,,mm
151,2020-06-28,1767,1764,03,0,2,,mm
152,2020-06-29,1741,1741,00,0,3,,mm
153,2020-06-30,1708,1708,00,0,1,,mm
154,2020-01-07,1340,1335,05,0,0,,mm
155,2020-02-07,1753,1753,00,0,1,,mm
156,2020-03-07,1555,1553,02,0,14,,mm
157,2020-04-07,1816,1809,07,0,3,,mm
158,2020-05-07,958,958,00,0,1,,mm
159,2020-06-07,1654,1651,03,0,4,,mm
160,2020-07-07,1459,1459,00,0,0,,mm
161,2020-08-07,1688,1686,02,0,5,,mm
162,2020-09-07,1829,1826,03,0,4,,mm
163,2020-10-07,1816,1811,05,0,2,,mm
164,2020-11-07,1895,1891,04,0,4,,mm
165,2020-12-07,1099,1098,01,0,1,,mm
166,2020-07-13,1143,1138,05,0,0,,mm
167,2020-07-14,1736,1735,01,0,0,,mm
168,2020-07-15,1429,1429,00,0,5,,mm
169,2020-07-16,1874,1872,02,0,4,,mm
170,2020-07-17,1724,1724,00,0,1,,mm
171,2020-07-18,2066,2064,02,0,2,,mm
172,2020-07-19,1419,1419,00,0,3,,mm
173,2020-07-20,1215,1215,00,0,2,,mm
174,2020-07-21,785,785,00,0,2,,mm
175,2020-07-22,1147,1145,02,0,0,,mm
176,2020-07-23,1276,1276,00,0,2,,mm
177,2020-07-24,1471,1468,3,0,4,,mm
178,2020-07-25,1431,1428,03,0,2,,mm
179,2020-07-26,1121,1120,01,0,2,,mm
180,2020-07-27,1183,1183,00,0,2,,mm
181,2020-07-28,1184,1183,01,0,1,,mm
182,2020-07-29,2217,2215,02,0,1,,mm
183,2020-07-30,847,847,00,0,1,,mm
184,2020-07-31,881,881,00,0,1,,mm
185,2020-01-08,915,915,00,0,1,,mm
186,2020-02-08,1232,1232,00,0,1,,mm
187,2020-03-08,1314,1312,02,0,4,,mm
188,2020-04-08,748,747,01,0,0,,mm
189,2020-05-08,1562,1561,01,0,3,,mm
190,2020-06-08,1308,1306,02,0,3,,mm
191,2020-07-08,1335,1335,00,0,1,,mm
192,2020-08-08,1291,1291,00,0,2,,mm
193,2020-09-08,1063,1062,01,0,1,,mm
194,2020-10-08,1167,1167,00,0,0,,mm
195,2020-11-08,1145,1145,00,0,1,,mm
196,2020-12-08,2021,2020,01,0,5,,mm
197,2020-08-13,1908,1900,08,0,3,,mm
198,2020-08-14,1908,1903,05,0,1,,mm
199,2020-08-15,1610,1610,00,0,2,,mm
200,2020-08-16,973,972,01,0,5,,mm
201,2020-08-17,1714,1713,01,0,2,,mm
202,2020-08-18,1993,1990,03,0,0,,mm
203,2020-08-19,1664,1647,17,0,2,,mm
204,2020-08-20,1611,1598,13,0,0,,mm
205,2020-08-21,1609,1583,26,0,4,,mm
206,2020-08-22,1290,1281,09,0,1,,mm
207,2020-08-23,1092,1073,19,0,3,,mm
208,2020-08-24,1786,1775,11,0,0,,mm
209,2020-08-25,2300,2200,100,0,0,,mm
210,2020-08-26,2296,2284,12,0,4,,mm
211,2020-08-27,1976,1934,42,0,4,,mm
212,2020-08-28,2535,2507,28,0,0,,mm
213,2020-08-29,2054,1961,93,0,2,,mm
214,2020-08-30,2425,2387,38,0,1,,mm
215,2020-08-31,2152,2052,100,0,2,,mm
216,2020-01-09,2441,2390,51,0,3,,mm
217,2020-02-09,2552,2432,120,0,2,,mm
218,2020-03-09,2594,2519,75,1,0,,mm
219,2020-04-09,3175,3092,83,0,0,,mm
220,2020-05-09,3165,3062,103,0,12,,mm
221,2020-06-09,3007,2862,145,1,14,,mm
222,2020-07-09,2697,2551,146,2,3,,mm
223,2020-08-09,3317,3120,197,1,72,,mm
224,2020-09-09,3415,3214,201,2,93,,mm
225,2020-10-09,3417,3160,257,1,72,,mm
226,2020-11-09,4109,3929,180,4,0,,mm
227,2020-12-09,4120,3769,351,5,51,,mm
228,2020-09-13,3635,3416,219,7,23,,mm
229,2020-09-14,4458,4174,284,13,91,,mm
230,2020-09-15,4597,4260,337,7,42,,mm
231,2020-09-16,4555,4296,259,11,76,,mm
232,2020-09-17,5284,4880,404,10,36,,mm
233,2020-09-18,5252,4930,322,17,186,,mm
234,2020-09-19,5298,4656,642,12,58,,mm
235,2020-09-20,4892,4350,542,10,72,,mm
236,2020-09-21,5436,4771,665,15,185,,mm
237,2020-09-22,5582,5094,488,17,506,,mm
238,2020-09-23,5872,5003,869,19,134,,mm
239,2020-09-24,4725,4038,687,25,296,,mm
240,2020-09-25,3360,2763,597,21,136,,mm
241,2020-09-26,5816,4936,880,14,164,,mm
242,2020-09-27,5272,4529,743,5,181,,mm
243,2020-09-28,5597,4701,896,30,211,,mm
244,2020-09-29,5962,5165,797,28,318,,mm
